Rk,Gcar,Gtm,Date,Tm,HmAw,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,108,2,Mar 31,NYM,,STL,W6-2,GS-6,W(1-0),99,5.667,4,1,1,1,7,0,0,1.59,22,101,64,18,8,7,7,2,3,0,63,,,0,0,0,21,0,0,0,0,0,0,1.02,0.164,1.41,25.75,47.00,1t start tie,6t -2- 2 out a3
2,109,6,Apr 5,NYM,@,WSN,W8-2,GS-6,W(2-0),4,6.0,4,2,1,3,5,0,0,1.54,24,86,58,16,14,8,8,5,1,0,60,,,0,0,0,21,2,0,0,1,0,0,1.48,0.124,1.01,21.30,42.00,1b start tie,6b 3 out a2
3,110,10,Apr 10,NYM,@,MIA,W8-6,GS-6,,4,6.0,7,4,4,1,6,1,1,3.06,27,101,66,17,12,11,8,4,1,0,47,,,0,0,0,24,0,0,0,0,1,0,1.26,-0.224,-1.34,12.10,24.00,1b start a 1,6b 3 out tie
4,111,15,Apr 16,NYM,,WSN,L6-8,GS-8,,5,7.333,6,3,3,1,12,1,0,3.24,28,103,76,20,23,9,6,2,2,0,65,,,2,0,0,27,0,0,1,1,0,0,.96,0.271,1.76,30.30,49.00,1t start tie,8t 12- 1 out a5
5,112,20,Apr 21,NYM,@,ATL,L3-4,GS-7,,4,7.0,4,0,0,2,10,0,0,2.53,26,97,67,18,14,5,9,3,3,0,77,,,2,1,0,24,1,0,0,0,0,0,1.16,0.432,3.30,32.15,51.00,1b start tie,7b 3 out tie
6,113,24,Apr 27,NYM,@,SDP,W5-1,GS-8,W(3-0),5,7.333,5,0,0,3,8,0,0,2.06,28,110,72,13,19,8,9,5,4,0,73,,,0,1,0,24,0,0,0,1,0,0,1.13,0.415,3.28,31.70,58.00,1b start a 1,8b 1-- 1 out a5
7,114,28,May 2,NYM,,ATL,L0-7,GS-4,,4,4.0,2,0,0,0,6,0,0,1.87,14,46,36,9,10,2,6,5,1,0,64,,,0,0,0,14,0,0,0,0,0,0,.72,0.205,1.81,19.80,30.00,1t start tie,4t 3 out tie
8,115,37,May 13,NYM,@,PHI,L2-4,GS-1,,10,1.0,0,0,0,3,2,0,0,1.83,6,45,29,4,4,1,0,0,0,0,52,,,0,0,0,3,0,0,0,0,0,0,1.84,0.047,0.48,4.45,9.00,1b start tie,1b 3 out tie
9,116,40,May 18,NYM,,ARI,W3-1,GS-7,W(4-0),4,7.0,6,1,1,0,13,0,0,1.75,26,100,71,17,20,5,8,5,3,0,74,,,0,0,0,26,2,0,0,0,0,0,1.11,0.297,2.16,40.15,69.00,1t start tie,7t 3 out a2
10,117,45,May 23,NYM,,MIA,L1-2,GS-7,,4,7.0,4,0,0,2,8,0,2,1.54,30,109,70,19,13,7,11,6,0,0,75,,,0,0,0,26,0,0,0,0,0,1,1.38,0.438,3.16,26.95,45.00,1t start tie,7t 3 out a1
11,118,50,May 28(1),NYM,@,ATL,L3-4,GS-7,,4,7.0,5,1,1,3,8,1,0,1.52,28,115,76,15,18,8,9,4,1,0,68,,,0,0,0,25,0,0,0,1,0,0,1.65,0.317,2.30,24.95,42.00,1b start a 1,7b 3 out a1
12,119,56,Jun 2,NYM,,CHC,L1-7,GS-7,,4,7.0,7,1,1,2,13,0,0,1.49,30,116,86,20,23,4,11,6,1,0,70,,,0,0,0,27,1,0,1,0,0,0,1.45,0.229,2.16,34.35,57.00,1t start tie,7t 3 out tie
13,120,60,Jun 8,NYM,,NYY,L1-4,GS-8,L(4-1),5,8.0,4,3,2,2,8,1,0,1.57,29,101,64,16,11,11,8,5,1,0,70,,,0,0,0,26,0,0,0,2,1,1,1.31,-0.094,0.61,26.40,42.00,1t start tie,8t 3 out d2
14,121,64,Jun 13,NYM,@,ATL,L0-2,GS-7,L(4-2),4,7.0,7,1,1,0,7,0,0,1.55,27,86,66,10,12,9,11,7,1,0,66,,,0,1,0,27,3,0,0,0,0,0,.84,0.193,2.30,23.55,39.00,1b start tie,7b 3 out d1
15,122,69,Jun 18,NYM,@,COL,W12-2,GS-8,W(5-2),4,8.0,5,2,1,1,7,0,0,1.51,29,106,79,11,24,15,6,3,0,0,72,,,0,0,0,28,3,0,0,0,0,0,.99,0.321,2.55,30.40,54.00,1b start a 1,8b 3 out a4
16,123,74,Jun 23,NYM,,LAD,L3-8,GS-6,L(5-3),4,6.0,5,3,3,3,6,1,0,1.69,27,112,70,17,13,7,11,3,2,0,53,,,0,0,0,24,1,1,0,0,0,1,1.14,-0.090,-0.29,14.70,27.00,1t start tie,6t 3 out d1
17,124,80,Jun 30,NYM,@,MIA,L2-5,GS-6,L(5-4),6,6.0,6,3,3,1,8,1,1,1.84,25,84,57,13,17,10,5,2,0,0,55,,,0,1,0,23,0,0,0,0,0,0,1.14,-0.186,-0.34,18.70,33.00,1b start a 1,6b 3 out d1
18,125,84,Jul 6,NYM,,TBR,W5-1,GS-8,,5,8.0,4,1,1,1,8,1,1,1.79,29,105,73,16,19,8,11,4,2,0,77,,,1,1,0,27,1,1,0,0,0,0,1.23,0.377,2.61,28.40,45.00,1t start tie,8t 3 out tie
